Date,Price,Open,High,Low,Vol.,Change %,currency,country,development_status
02/07/2025,1.5944,1.5924,1.5993,1.5874,,0.19,AUD,Australia,Developed
02/06/2025,1.5913,1.5911,1.599,1.59,,0.03,AUD,Australia,Developed
02/05/2025,1.5908,1.6,1.6027,1.5878,,-0.48,AUD,Australia,Developed
02/04/2025,1.5985,1.6063,1.6209,1.5966,,-0.45,AUD,Australia,Developed
02/03/2025,1.6057,1.6102,1.643,1.6031,,-0.24,AUD,Australia,Developed
01/31/2025,1.6095,1.6105,1.6124,1.5966,,-0.03,AUD,Australia,Developed
01/30/2025,1.61,1.6053,1.6132,1.6013,,0.35,AUD,Australia,Developed
01/29/2025,1.6044,1.5991,1.6104,1.5984,,0.36,AUD,Australia,Developed
01/28/2025,1.5987,1.5892,1.6035,1.5887,,0.62,AUD,Australia,Developed
01/27/2025,1.5888,1.5821,1.5938,1.5813,,0.32,AUD,Australia,Developed
01/24/2025,1.5838,1.5909,1.593,1.5793,,-0.44,AUD,Australia,Developed
01/23/2025,1.5908,1.594,1.5989,1.5871,,-0.19,AUD,Australia,Developed
01/22/2025,1.5939,1.5937,1.5993,1.5882,,0.05,AUD,Australia,Developed
01/21/2025,1.5931,1.5934,1.6107,1.5898,,-0.03,AUD,Australia,Developed
01/20/2025,1.5936,1.613,1.6158,1.5905,,-1.28,AUD,Australia,Developed
01/17/2025,1.6142,1.6096,1.6222,1.6055,,0.3,AUD,Australia,Developed
01/16/2025,1.6093,1.6061,1.6151,1.6013,,0.22,AUD,Australia,Developed
01/15/2025,1.6057,1.6144,1.618,1.6006,,-0.5,AUD,Australia,Developed
01/14/2025,1.6137,1.6188,1.6219,1.6107,,-0.29,AUD,Australia,Developed
01/13/2025,1.6184,1.6261,1.6312,1.6184,,-0.46,AUD,Australia,Developed
01/10/2025,1.6258,1.6132,1.629,1.6111,,0.77,AUD,Australia,Developed
01/09/2025,1.6134,1.609,1.6204,1.6083,,0.29,AUD,Australia,Developed
01/08/2025,1.6088,1.605,1.6164,1.6017,,0.24,AUD,Australia,Developed
01/07/2025,1.6049,1.6007,1.6058,1.5899,,0.29,AUD,Australia,Developed
01/06/2025,1.6003,1.609,1.6116,1.5864,,-0.53,AUD,Australia,Developed
01/03/2025,1.6088,1.6114,1.6135,1.6059,,-0.19,AUD,Australia,Developed
01/02/2025,1.6119,1.6163,1.6173,1.6068,,-0.19,AUD,Australia,Developed
01/01/2025,1.615,1.6162,1.6174,1.6146,,-0.05,AUD,Australia,Developed
12/31/2024,1.6158,1.6076,1.6185,1.6045,,0.57,AUD,Australia,Developed
12/30/2024,1.6067,1.6105,1.6125,1.6005,,-0.05,AUD,Australia,Developed
12/27/2024,1.6075,1.6076,1.613,1.6054,,0.0,AUD,Australia,Developed
12/26/2024,1.6075,1.6037,1.6089,1.5986,,0.36,AUD,Australia,Developed
12/25/2024,1.6018,1.602,1.6056,1.6006,,-0.05,AUD,Australia,Developed
12/24/2024,1.6026,1.6004,1.6068,1.599,,0.18,AUD,Australia,Developed
12/23/2024,1.5997,1.5959,1.6081,1.5947,,0.0,AUD,Australia,Developed
12/20/2024,1.5997,1.6026,1.6093,1.5935,,-0.16,AUD,Australia,Developed
12/19/2024,1.6023,1.6084,1.6134,1.5958,,-0.35,AUD,Australia,Developed
12/18/2024,1.608,1.5777,1.6094,1.577,,1.95,AUD,Australia,Developed
12/17/2024,1.5773,1.5697,1.5796,1.5676,,0.52,AUD,Australia,Developed
12/16/2024,1.5691,1.5725,1.5761,1.5664,,-0.13,AUD,Australia,Developed
12/13/2024,1.5711,1.5703,1.5745,1.5664,,0.08,AUD,Australia,Developed
12/12/2024,1.5699,1.5702,1.5722,1.5551,,0.02,AUD,Australia,Developed
12/11/2024,1.5696,1.5678,1.5784,1.5648,,0.14,AUD,Australia,Developed
12/10/2024,1.5674,1.5528,1.5712,1.5519,,0.97,AUD,Australia,Developed
12/09/2024,1.5523,1.5646,1.5677,1.545,,-0.81,AUD,Australia,Developed
12/06/2024,1.5649,1.5497,1.5694,1.5489,,1.01,AUD,Australia,Developed
12/05/2024,1.5492,1.5553,1.5575,1.549,,-0.34,AUD,Australia,Developed
12/04/2024,1.5545,1.5419,1.5628,1.5409,,0.87,AUD,Australia,Developed
12/03/2024,1.5411,1.5446,1.5493,1.5372,,-0.18,AUD,Australia,Developed
12/02/2024,1.5439,1.5345,1.5522,1.5321,,0.57,AUD,Australia,Developed
11/29/2024,1.5352,1.5387,1.5403,1.5316,,-0.21,AUD,Australia,Developed
11/28/2024,1.5385,1.5391,1.544,1.5359,,-0.01,AUD,Australia,Developed
11/27/2024,1.5387,1.5445,1.5472,1.538,,-0.36,AUD,Australia,Developed
11/26/2024,1.5442,1.5375,1.5544,1.5365,,0.47,AUD,Australia,Developed
11/25/2024,1.537,1.5372,1.5417,1.5265,,-0.07,AUD,Australia,Developed
11/22/2024,1.538,1.5358,1.5454,1.5331,,0.16,AUD,Australia,Developed
11/21/2024,1.5356,1.538,1.5393,1.5306,,-0.07,AUD,Australia,Developed
11/20/2024,1.5366,1.5309,1.5424,1.5278,,0.37,AUD,Australia,Developed
11/19/2024,1.5309,1.5366,1.5429,1.5303,,-0.37,AUD,Australia,Developed
11/18/2024,1.5366,1.5477,1.551,1.5357,,-0.69,AUD,Australia,Developed
11/15/2024,1.5473,1.5496,1.5524,1.5428,,-0.12,AUD,Australia,Developed
11/14/2024,1.5492,1.541,1.5528,1.5388,,0.48,AUD,Australia,Developed
11/13/2024,1.5418,1.5303,1.5433,1.5274,,0.74,AUD,Australia,Developed
11/12/2024,1.5305,1.521,1.5354,1.5192,,0.64,AUD,Australia,Developed
11/11/2024,1.5207,1.5165,1.5239,1.5147,,0.15,AUD,Australia,Developed
11/08/2024,1.5184,1.4984,1.525,1.4965,,1.44,AUD,Australia,Developed
11/07/2024,1.4968,1.5224,1.5236,1.495,,-1.63,AUD,Australia,Developed
11/06/2024,1.5216,1.5065,1.5358,1.5046,,1.04,AUD,Australia,Developed
11/05/2024,1.506,1.5185,1.5202,1.5053,,-0.83,AUD,Australia,Developed
11/04/2024,1.5186,1.5201,1.5216,1.5105,,-0.37,AUD,Australia,Developed
11/01/2024,1.5242,1.5192,1.5259,1.5168,,0.32,AUD,Australia,Developed
10/31/2024,1.5193,1.5216,1.5293,1.5186,,-0.14,AUD,Australia,Developed
10/30/2024,1.5214,1.5243,1.53,1.5158,,-0.18,AUD,Australia,Developed
10/29/2024,1.5242,1.5189,1.528,1.518,,0.36,AUD,Australia,Developed
10/28/2024,1.5188,1.5109,1.5201,1.5085,,0.32,AUD,Australia,Developed
10/25/2024,1.514,1.5059,1.5151,1.5043,,0.54,AUD,Australia,Developed
10/24/2024,1.5058,1.5074,1.5105,1.5009,,-0.09,AUD,Australia,Developed
10/23/2024,1.5072,1.4964,1.512,1.4942,,0.71,AUD,Australia,Developed
