date,real,nominal
1/1/1915,609.51,19.25
2/1/1915,615.62,19.25
3/1/1915,621.83,19.25
4/1/1915,615.62,19.25
5/1/1915,609.51,19.25
6/1/1915,609.51,19.25
7/1/1915,609.51,19.25
8/1/1915,609.51,19.25
9/1/1915,609.51,19.25
10/1/1915,603.55,19.25
11/1/1915,597.67,19.25
12/1/1915,597.67,19.25
1/1/1916,598.7,19.47
2/1/1916,598.7,19.47
3/1/1916,593,19.47
4/1/1916,587.41,19.47
5/1/1916,581.92,19.47
6/1/1916,576.53,19.47
7/1/1916,576.53,19.47
8/1/1916,571.23,19.47
9/1/1916,560.95,19.47
10/1/1916,551.02,19.47
11/1/1916,541.44,19.47
12/1/1916,536.77,19.47
1/1/1917,537.37,19.66
2/1/1917,523.94,19.66
3/1/1917,523.94,19.66
4/1/1917,498.99,19.66
5/1/1917,491.19,19.66
6/1/1917,483.64,19.66
7/1/1917,491.19,19.66
8/1/1917,483.64,19.66
9/1/1917,472.72,19.66
10/1/1917,465.73,19.66
11/1/1917,465.73,19.66
12/1/1917,458.92,19.66
1/1/1918,453.21,19.84
2/1/1918,449.99,19.84
3/1/1918,453.21,19.84
4/1/1918,446.82,19.84
5/1/1918,437.57,19.84
6/1/1918,431.62,19.84
7/1/1918,420.19,19.84
8/1/1918,412,19.84
9/1/1918,404.12,19.84
10/1/1918,396.54,19.84
11/1/1918,389.26,19.84
12/1/1918,384.54,19.84
1/1/1919,388.22,20.03
2/1/1919,395.41,20.03
3/1/1919,390.59,20.03
4/1/1919,383.57,20.03
5/1/1919,379.03,20.03
6/1/1919,379.03,20.03
7/1/1919,368.13,20.03
8/1/1919,361.9,20.03
9/1/1919,359.86,20.03
10/1/1919,353.89,20.03
11/1/1919,346.24,20.03
12/1/1919,338.93,20.03
1/1/1920,341.84,20.63
2/1/1920,338.33,20.63
3/1/1920,334.89,20.63
4/1/1920,325.01,20.63
5/1/1920,320.26,20.63
6/1/1920,315.66,20.63
7/1/1920,317.19,20.63
8/1/1920,325.01,20.63
9/1/1920,329.87,20.63
10/1/1920,331.52,20.63
11/1/1920,333.2,20.63
12/1/1920,340.06,20.63
1/1/1921,348.25,20.69
2/1/1921,359.59,20.69
3/1/1921,361.56,20.69
4/1/1921,365.55,20.69
5/1/1921,373.83,20.69
6/1/1921,375.94,20.69
7/1/1921,373.83,20.69
8/1/1921,373.83,20.69
9/1/1921,378.09,20.69
10/1/1921,378.09,20.69
11/1/1921,380.26,20.69
12/1/1921,382.45,20.69
1/1/1922,394.36,20.84
2/1/1922,394.36,20.84
3/1/1922,399.09,20.84
4/1/1922,399.09,20.84
5/1/1922,399.09,20.84
6/1/1922,399.09,20.84
7/1/1922,396.71,20.84
8/1/1922,401.48,20.84
9/1/1922,401.48,20.84
10/1/1922,399.09,20.84
11/1/1922,396.71,20.84
12/1/1922,394.36,20.84
1/1/1923,395,20.75
2/1/1923,395,20.75
3/1/1923,395,20.75
4/1/1923,392.65,20.75
5/1/1923,392.65,20.75
6/1/1923,390.35,20.75
7/1/1923,385.8,20.75
8/1/1923,388.07,20.75
9/1/1923,385.8,20.75
10/1/1923,383.56,20.75
11/1/1923,383.56,20.75
12/1/1923,383.56,20.75
1/1/1924,384.12,20.78
2/1/1924,386.36,20.78
3/1/1924,388.63,20.78
4/1/1924,390.91,20.78
5/1/1924,390.91,20.78
6/1/1924,390.91,20.78
7/1/1924,388.63,20.78
8/1/1924,390.91,20.78
9/1/1924,388.63,20.78
10/1/1924,386.36,20.78
11/1/1924,386.36,20.78
12/1/1924,384.12,20.78
1/1/1925,383.56,20.75
2/1/1925,385.8,20.75
3/1/1925,383.56,20.75
4/1/1925,385.8,20.75
5/1/1925,383.56,20.75
6/1/1925,379.19,20.75
7/1/1925,374.91,20.75
8/1/1925,374.91,20.75
9/1/1925,374.91,20.75
10/1/1925,374.91,20.75
11/1/1925,368.67,20.75
12/1/1925,370.72,20.75
1/1/1926,370.18,20.72
2/1/1926,370.18,20.72
3/1/1926,372.26,20.72
4/1/1926,370.18,20.72
5/1/1926,372.26,20.72
6/1/1926,374.37,20.72
7/1/1926,378.64,20.72
8/1/1926,380.81,20.72
9/1/1926,378.64,20.72
10/1/1926,376.48,20.72
11/1/1926,374.37,20.72
12/1/1926,374.37,20.72
